Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
140578,Passionate Marriage: Keeping Love and Intimacy Alive in Committed Relationships,David Schnarch,"Schnarch, David",,"=""0805058265""","=""9780805058260""",0,4.15,Holt Paperbacks,Paperback,432,1998,1997,,2025/12/06,to-read,to-read (#580),to-read,,,,0,0
36373300,"The Wild Woman's Way: Unlock Your Full Potential for Pleasure, Power, and Fulfillment",Michaela Boehm,"Boehm, Michaela",,"=""1501179888""","=""9781501179884""",0,4.04,Atria/Enliven Books,Hardcover,256,2018,2018,,2025/12/06,to-read,to-read (#579),to-read,,,,0,0
58772692,"From the Core: A New Masculine Paradigm for Leading with Love, Living Your Truth, and Healing the World",John Wineland,"Wineland, John",,"=""1683649109""","=""9781683649106""",0,4.41,St. Martin's Essentials / Sounds True,Paperback,224,2022,,,2025/12/06,to-read,to-read (#578),to-read,,,,0,0
10097525,Trauma and the Avoidant Client: Attachment-Based Strategies for Healing (Norton Professional Books (Hardcover)),Robert T. Muller,"Muller, Robert T.",,"=""0393706966""","=""9780393706963""",0,4.33,W. W. Norton & Company,Kindle Edition,217,2010,2010,,2025/12/05,to-read,to-read (#577),to-read,,,,0,0
181109969,Secure Relating: Holding Your Own in an Insecure World,Sue Marriott,"Marriott, Sue",Ann Kelley,"=""0063334550""","=""9780063334557""",0,4.46,Harper,Hardcover,352,2024,,,2025/12/05,to-read,to-read (#576),to-read,,,,0,0
251356,Bad Behavior,Mary Gaitskill,"Gaitskill, Mary",,"=""""","=""""",0,3.87,Vintage Books USA,Paperback,208,1989,1988,,2025/11/16,to-read,to-read (#575),to-read,,,,0,0
26531469,Attachment Disturbances in Adults: Treatment for Comprehensive Repair,Daniel P. Brown,"Brown, Daniel P.",David S. Elliott,"=""0393711528""","=""9780393711523""",0,4.52,W. W. Norton & Company,Hardcover,752,2016,2016,,2025/11/04,to-read,to-read (#574),to-read,,,,0,0
37677,The Call of the Wild / White Fang,Jack London,"London, Jack",,"=""1587263890""","=""9781587263897""",5,4.12,Ann Arbor Media,Hardcover,292,2006,1903,,2012/10/06,,,read,,,,1,0
849380,The Seven Principles for Making Marriage Work: A Practical Guide from the Country's Foremost Relationship Expert,John M. Gottman,"Gottman, John M.",Nan Silver,"=""0609805797""","=""9780609805794""",0,4.26,Harmony,Paperback,271,1999,1999,,2025/10/30,to-read,to-read (#573),to-read,,,,0,0
8130077,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",0,4.27,HarperCollins e-books,Kindle Edition,222,2009,1942,,2025/10/27,to-read,to-read (#572),to-read,,,,0,0
35519,The Power of Myth,Joseph Campbell,"Campbell, Joseph",Bill Moyers,"=""0385418868""","=""9780385418867""",0,4.26,Anchor,Paperback,293,1988,1988,,2025/10/20,to-read,to-read (#571),to-read,,,,0,0
26312997,Peak: Secrets from the New Science of Expertise,K. Anders Ericsson,"Ericsson, K. Anders",Robert Pool,"=""0544456254""","=""9780544456259""",0,4.20,HarperOne,ebook,336,2016,2016,,2025/10/19,to-read,to-read (#570),to-read,,,,0,0
68984,The Power of Your Subconscious Mind,Joseph Murphy,"Murphy, Joseph",Ian McMahon,"=""0553583182""","=""9780553583182""",0,4.06,Bantam,Mass Market Paperback,304,2001,1963,,2025/10/19,to-read,to-read (#569),to-read,,,,0,0
76334,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,"Tolle, Eckhart",,"=""0452287588""","=""9780452287587""",0,4.16,Plume,Paperback,316,2006,2005,,2025/10/19,to-read,to-read (#568),to-read,,,,0,0
248240,The Ultimate Guide to Cunnilingus: How to Go Down on a Woman and Give Her Exquisite Pleasure,Violet Blue,"Blue, Violet",,"=""1573441449""","=""9781573441445""",0,3.98,Cleis Press,Paperback,150,2002,2002,,2025/10/19,to-read,to-read (#567),to-read,,,,0,0
187634,Love Is Letting Go of Fear,Gerald G. Jampolsky,"Jampolsky, Gerald G.",Hugh Prather,"=""1587611961""","=""9781587611964""",0,4.14,Celestial Arts,Paperback,152,2004,1979,,2025/10/19,to-read,to-read (#566),to-read,,,,0,0
610350,"When Heaven Weeps (Martyr's Song, #2)",Ted Dekker,"Dekker, Ted",,"=""084994516X""","=""9780849945168""",0,4.25,Thomas Nelson,Paperback,384,2005,2001,,2025/10/19,to-read,to-read (#565),to-read,,,,0,0
135146,Living with Joy: Keys to Personal Power and Spiritual Transformation,Sanaya Roman,"Roman, Sanaya",,"=""0915811030""","=""9780915811038""",0,4.45,HJ Kramer,Paperback,195,1992,1986,,2025/10/19,to-read,to-read (#564),to-read,,,,0,0
